dataset,pub,error,url
finland_mfa-cu,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_CU.xml"
finland_mfa-cv,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_CV.xml"
finland_mfa-dm,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_DM.xml"
finland_mfa-do,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_DO.xml"
finland_mfa-dz,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_DZ.xml"
finland_mfa-ec,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_EC.xml"
finland_mfa-eg,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_EG.xml"
finland_mfa-er,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_ER.xml"
finland_mfa-et,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_ET.xml"
finland_mfa-fj,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_FJ.xml"
finland_mfa-ga,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_GA.xml"
finland_mfa-ge,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_GE.xml"
finland_mfa-gh,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_GH.xml"
finland_mfa-gm,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_GM.xml"
finland_mfa-gn,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_GN.xml"
finland_mfa-gt,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_GT.xml"
