dataset,pub,error,url
cafod-dfid-uganda,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIDFIDFile_Uganda.xml"
cafod-dfid-uganda,cafod,restored 3 files,"https://cafod.org.uk/extra/data/iati/IATIDFIDFile_Uganda.xml"
cafod-djibouti,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_Djibouti.xml"
cafod-djibouti,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_Djibouti.xml"
cafod-djibouti,cafod,restored 1 files,"https://cafod.org.uk/extra/data/iati/IATIFile_Djibouti.xml"
cafod-ecuador,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_Ecuador.xml"
cafod-ecuador,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_Ecuador.xml"
cafod-ecuador,cafod,restored 1 files,"https://cafod.org.uk/extra/data/iati/IATIFile_Ecuador.xml"
cafod-greece,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_Greece.xml"
cafod-greece,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_Greece.xml"
cafod-greece,cafod,restored 1 files,"https://cafod.org.uk/extra/data/iati/IATIFile_Greece.xml"
cafod-guinea,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_Guinea.xml"
cafod-guinea,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_Guinea.xml"
cafod-guinea,cafod,restored 1 files,"https://cafod.org.uk/extra/data/iati/IATIFile_Guinea.xml"
cafod-iraq,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_Iraq.xml"
cafod-iraq,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_Iraq.xml"
cafod-iraq,cafod,restored 1 files,"https://cafod.org.uk/extra/data/iati/IATIFile_Iraq.xml"
cafod-malawi,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_Malawi.xml"
cafod-malawi,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_Malawi.xml"
cafod-malawi,cafod,restored 7 files,"https://cafod.org.uk/extra/data/iati/IATIFile_Malawi.xml"
