dataset,pub,type,num,url
ia_nam-o134,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/134"
ia_nam-o135,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/135"
ia_nam-o136,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/136"
ia_nam-o137,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/137"
ia_nam-o13,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/13"
ia_nam-o146,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/146"
ia_nam-o151,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/151"
ia_nam-o154,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/154"
ia_nam-o155,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/155"
ia_nam-o157,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/157"
ia_nam-o158,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/158"
ia_nam-o15,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/15"
ia_nam-o160,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/160"
ia_nam-o161,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/161"
ia_nam-o162,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/162"
ia_nam-o164,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/164"
ia_nam-o166,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/166"
ia_nam-o167,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/167"
ia_nam-o168,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/168"
ia_nam-o169,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/169"
ia_nam-o16,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/16"
ia_nam-o177,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/177"
ia_nam-o17,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/17"
ia_nam-o185,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/185"
ia_nam-o18,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/18"
ia_nam-o197,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/197"
ia_nam-o19,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/19"
ia_nam-o204,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/204"
ia_nam-o20,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/20"
ia_nam-o21,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/21"
ia_nam-o222,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/222"
ia_nam-o223,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/223"
ia_nam-o225,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/225"
ia_nam-o229,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/229"
ia_nam-o23,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/23"
ia_nam-o24,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/24"
ia_nam-o27,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/27"
ia_nam-o28,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/28"
ia_nam-o29,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/29"
ia_nam-o2,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/2"
ia_nam-o31,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/31"
ia_nam-o33,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/33"
ia_nam-o34,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/34"
ia_nam-o35,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/35"
ia_nam-o379,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/379"
ia_nam-o37,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/37"
ia_nam-o38,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/38"
ia_nam-o3997,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/3997"
ia_nam-o39,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/39"
ia_nam-o401,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/401"
ia_nam-o40,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/40"
ia_nam-o42,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/42"
ia_nam-o43,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/43"
ia_nam-o44,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/44"
ia_nam-o45,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/45"
ia_nam-o4,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/4"
ia_nam-o50,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/50"
ia_nam-o52,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/52"
ia_nam-o5471,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/5471"
ia_nam-o56,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/56"
ia_nam-o57,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/57"
ia_nam-o5884,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/5884"
ia_nam-o58,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/58"
ia_nam-o59,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/59"
ia_nam-o5,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/5"
ia_nam-o60,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/60"
ia_nam-o6169,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/6169"
ia_nam-o6170,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/6170"
ia_nam-o61,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/61"
ia_nam-o64,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/64"
ia_nam-o65,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/65"
ia_nam-o66,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/66"
ia_nam-o67,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/67"
ia_nam-o69,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/69"
ia_nam-o71,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/71"
ia_nam-o72,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/72"
ia_nam-o73,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/73"
ia_nam-o79,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/79"
ia_nam-o81,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/81"
